,alumno,tutor,despacho-tutor,clase1,clase2,clase3,,,,,,,
,Williams,Garcia,412,POO,POE,DBD,,,,,,,
,Josue,Diaz,216,POO,DBD,POE,,,,,,,
,Enmanuel,Hernandez,552,POE,POO,DBD,,,,,,,
,Carlos,Rodriguez,124,POE,DBD,POO,,,,,,,
,Cristian,Zelaya,314,DBD,POO,POE,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,alumno  (PK),tutor,despacho-tutor,nom_clase,,,,,,,,,
,Williams,Garcia,412,POO,,,,,,,,,
,Williams,Garcia,412,POE,,,,,,,,,
,Williams,Garcia,412,DBD,,,,,,,,,
,Josue,Diaz,216,POO,,,,,,,,,
,Josue,Diaz,216,DBD,,,,,,,,,
,Josue,Diaz,216,POE,,,,,,,,,
,Carlos,Rodriguez,124,POE,,,,,,,,,
,Carlos,Rodriguez,124,DBD,,,,,,,,,
,Carlos,Rodriguez,124,POO,,,,,,,,,
,Cristian,Zelaya,314,DBD,,,,,,,,,
,Cristian,Zelaya,314,POO,,,,,,,,,
,Cristian,Zelaya,314,POE,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
num_clase(PK),nom_clase,,num_alumno(PK),alumno,tutor,despacho,,id(PK),alumno(FK),num_clase(FK),,,
101-07,POO,,1001,Williams,Garcia,412,,1,1001,101-07,,,
157-02,POE,,2002,Josue,Diaz,216,,2,1001,157-02,,,
143-01,DBD,,3003,Enmanuel,Hernandez,552,,3,1001,143-01,,,
,,,4004,Carlos,Rodriguez,124,,4,2002,101-08,,,
,,,5005,Cristian,Zeleya,341,,5,2002,157-03,,,
,,,,,,,,6,2002,143-02,,,
,,,,,,,,7,3003,101-09,,,
,,,,,,,,8,3003,157-04,,,
,,,,,,,,9,3003,143-03,,,
,,,,,,,,10,4004,101-10,,,
,,,,,,,,11,4004,157-05,,,
,,,,,,,,12,4004,143-04,,,
,,,,,,,,13,5005,101-11,,,
,,,,,,,,14,5005,157-06,,,
,,,,,,,,15,5005,143-05,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
num_tutor,tutor,despacho_tutor,,num_clase(PK),nom_clase,,num_alumno(PK),alumno,tutor(FK),,id(PK),alumno(FK),num_clase(FK)
111,Garcia,412,,101-07,POO,,1001,Williams,111,,1,1001,101-07
222,Diaz,216,,157-02,POE,,2002,Josue,222,,2,1001,157-02
333,Hernandez,552,,143-01,DBD,,3003,Enmanuel,333,,3,1001,143-01
444,Rodriguez,124,,,,,4004,Carlos,444,,4,2002,101-08
555,Zelaya,341,,,,,5005,Cristian,555,,5,2002,157-03
,,,,,,,,,,,6,2002,143-02
,,,,,,,,,,,7,3003,101-09
,,,,,,,,,,,8,3003,157-04
,,,,,,,,,,,9,3003,143-03
,,,,,,,,,,,10,4004,101-10
,,,,,,,,,,,11,4004,157-05
,,,,,,,,,,,12,4004,143-04
,,,,,,,,,,,13,5005,101-11
,,,,,,,,,,,14,5005,157-06
,,,,,,,,,,,15,5005,143-05
